idx,DOI,title,appropriate,reason,format,battery_system,cathode_material,anode_material,electrolyte_confirmed,additive_full_name,additive_abbr_name,boron_additive_full_name,boron_additive_abbr_name,abstract,year
199,10.1002/pol.20210207,Effects of crosslinking density and Lewis acidic sites on conductivity and viscoelasticity of dynamic network electrolytes,No,"Electrolyte and additive information not provided, so appropriateness cannot be determined.",Coin,Li-ion battery,Not found,Not found,Not found,Not found,Not found,Not found,Not found,"['Polymers are promising materials for replacing organic liquids as electrolytes, and network architectures allow for the modulus to be tuned pseudo-independently of conductivity. When the crosslinks are dynamic bonds, they offer the additional benefits of recyclability and self-healing in response to damage. Dynamic network electrolytes (DNEs) comprised of precise linker lengths of 2, 3, or 4 repeat units of ethylene oxide and boronic ester junctions were prepared to investigate the roles of dense networks and bond exchange on conductivity and rheological properties. A range of salt concentrations were probed, and longer linker lengths led to consistently higher conductivities even after accounting for difference in the glass transition. In contrast, non-monotonic trends are observed in the salt dependence of viscosity as a function of linker length. The interaction of anions from the salt with boron leads to a drop in the viscosity, and at a critical salt content the networks no longer form a percolated network. From the bulk viscosity, a Walden Plot shows a transition from superionic to subionic behavior with added salt. These structure-property relationships offer key valuable insights for designing sustainable electrolytes.']",2021
200,10.1016/j.jpowsour.2010.01.026,"Studies on the influence of tris(pentafluorophenyl)borane on the properties of ethylene carbonate, dimethyl carbonate and poly(ethylene oxide) dimethyl ether lithium trifluoromethanesulfonate electrolytes",Yes,Reasonable,Not found,Not found,Not found,Not found,"EC/DMC (ethylene carbonate/dimethyl carbonate, w/w ratio 2:5) and PEODME (poly(ethylene oxide) dimethyl ether) doped with LiCF3SO3 (lithium trifluoromethanesulfonate) and modified with TPFPB (tris(pentafluorophenyl)borane)",tris(pentafluorophenyl)borane,TPFPB,tris(pentafluorophenyl)borane,TPFPB,"['In this paper we present our studies on the properties of battery electrolyte based on EC/DMC (ethylene carbonate/dimethyl carbonate, w/w ratio 2:5) and PEODME (poly(ethylene oxide) dimethyl ether) (M-w=500) doped with LiCF3SO3-lithium trifluoromethanesulfonate (LiTf) and modified with TPFPB (tris(pentafluorophenyl)borane) as a potential anion trapping agent. We were particularly interested how this compound behaves in different solvents, e.g. battery mixture EC/DMC and model polymeric matrix PEODME. We also verified stability of the proposed solutions by means of DSC and FTIR, determined influence on conductivity and lithium transference numbers by impedance spectroscopy, and finally attempted to define mechanism of influence of boron addition on different systems. (C) 2010 Elsevier B.V. All rights reserved.']",2010
201,10.1039/c5ra24880a,Enhanced cyclability of rechargeable Li-O2 batteries enabled by boron carbide,No,"Electrolyte and additive information not provided, so cannot determine appropriateness.",Not found,Li-O2 battery,Boron carbide (B4C),Lithium,Not found,Not found,Not found,Not found,Not found,"['A Li-O-2 battery with a boron carbide (B4C) based electrode presented a discharge-recharge voltage gap of 1.11 V, which is 550 mV smaller than that of a Super P based Li-O-2 battery. The B4C based electrode also enables much more enhanced cyclability of over 160 cycles at a current rate of 1000 mA g(-1) (0.3mA cm(-2)). The improved round-trip efficiency and cyclability is attributed to the high electrocatalytic activity and excellent stability of B4C.']",2015
202,10.1039/c8cc09663e,Teaching an old dog new tricks: new directions in fundamental and applied closo-carborane anion chemistry,No,Additive not found in the provided information,Not found,Mg battery,Mo6S8,Magnesium,2[Mg] in tetraglyme or DME,Not found,Not found,Not found,Not found,"[""This feature article covers new directions in the fundamental and applied chemistry of the closo-carborane anions [HCB11H11](-) and [HCB9H9](-), as well as some related chemistry with the dicarbolide ion [H2C2B9](2-). Specifically the manuscript will focus on summarizing the authors' as well as related novel contributions to the field. The application of such clusters as solution based electolytes for Mg batteries and related materials for ionic liquids will be discussed. In addition, the preparation of heterocycles and radicals fused to carborane anions will be discussed as well as various novel chemical transformations. Furthermore, new developments in anionic carboranyl phosphines and N-heterocyclic carbenes in the context of catalysis will be summarized.""]",2019
203,10.1021/acsami.1c03791,To Promote the Catalytic Conversion of Polysulfides Using Ni-B Alloy Nanoparticles on Carbon Nanotube Microspheres under High Sulfur Loading and a Lean Electrolyte,Not found,Not found,Coin,Lithium-sulfur battery,"Sulfur-based composite (e.g., S/Ni-B/CNTM)",Lithium foil,1.0 M LiTFSI and 0.2 M LiNO3 in DOL/DME (1:1 volume ratio),Not found,Not found,Not found,Not found,"['Despite their high theoretical energy density, the application of lithium-sulfur batteries is seriously hindered by the polysulfide shuttle and sluggish kinetics, especially with high sulfur loading and under low electrolyte usage. Herein, to facilitate the conversion of lithium polysulfides, nickel-boron (Ni-B) alloy nanoparticles, dispersed uniformly on carbon nanotube microspheres (CNTMs), are used as sulfur hosts for lithium-sulfur batteries. It is demonstrated that Ni-B alloy nanoparticles can not only anchor polysulfides through Ni-S and B-S interactions but also exhibit high electrocatalytic capability toward the conversion of intermediate polysulfide species. In addition, the intertwined CNT microspheres provide an additional conductive scaffold in response to the fast electrochemical redox. The enhanced redox kinetics is beneficial to improve the specific capacity and cycling stability of the sulfur cathode, based on the fast conversion of lithium polysulfides and effective deposition of the final sulfide products. Conclusively, the S/Ni-B/CNTM composite delivers a high specific capacity (1112.7 mAh g(s)(-1)) along with good cycle performance under both high sulfur loading (8.3 mg cm(-2)) and a lean electrolyte (3 mu L mg(s)(-1)). Consequently, this study opens up a path to design new sulfur hosts toward lithium-sulfur batteries.']",2021
204,10.1016/j.jpowsour.2019.226845,Computational study on catalytic performance of BC3 and NC3 nanosheets as cathode electrocatalysts for nonaqueous Li-O2 batteries,No,"Electrolyte and additive information not provided or found, making it impossible to assess appropriateness.",Not found,Li-ion battery,Not found,Not found,Not found,Not found,Not found,Not found,Not found,"[""The development of high-performance cathode electrocatalysts in nonaqueous lithium-oxygen (Li-O-2) battery is mainly restricted by high charge/discharge overpotentials. Based on first-principles calculations, we theoretically explore the application potential of BC3 and NC3 nanosheets as the suitable cathode electrocatalysts. By analyzing the stable adsorption configurations of LixO2y (x = 0-4, y = 0-2) intermediates on BC3/NC3, it is confirmed that oxygen reduction reaction (ORR) on BC3 follows four-electron pathway with (Li2O)(2) as the discharge product, while for ORR on NC3, (Li2O2)(2) is the discharge product following two-electron pathway. We then plot the corresponding free energy diagrams of charge/discharge processes and calculate the theoretical discharge and charge overpotentials (eta(ORR) and eta(OER)) along the optimal reaction pathways. Our results show that both the eta(ORR) and eta(OER) on BC3 are considerably low (0.21 V and 0.36 V), indicating that BC3 can serve as a high-performance cathode electrocatalyst. Meanwhile, the eta(ORR) and eta(OER) on NC3 (0.37 V and 0.95 V) are comparable to previously reported materials following two-electron pathway (such as N-doped graphene), exhibiting practical values. Both the BC3 and NC3 nanosheets are stable enough for application in Li-O-2 battery, and dimethyl sulfoxide (DMSO) isn't recommended as an organic electrolyte when BC3 works as the cathode catalyst.""]",2019
205,10.1016/j.elecom.2016.11.016,Reactions at graphene|tetracyanoborate ionic liquid interface - New safety mechanisms for supercapacitors and batteries,No,"Additive is not found, so it cannot be determined if it is appropriate for the battery's electrolyte requirements.",Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,"[""If an electrochemical energy storage device, which contains tetracyanoborate anions in the electrolyte, is accidentally charged with much higher voltage, it won't explode, because of a self-blocking mechanism. Firstly, voltage (E) more positive than 2.2 V (vs. Ag vertical bar AgCl reference electrode) kills the conductivity of single layer graphene and electrochemical reactions stop. Secondly, at E > 2.2 V tetracyanoborate anion polymerizes to a dielectric polymer polycyanoborani, which electrically isolates graphite or porous carbon grains from current collectors. (C) 2016 Elsevier B.V. All rights reserved.""]",2016
206,10.1039/c7cp02722b,Ion dynamics in halogen-free phosphonium bis(salicylato)borate ionic liquid electrolytes for lithium-ion batteries,Yes,Reasonable,Not found,Li-ion battery,Not found,Not found,"Tributyloctylphosphonium bis(salicylato)borate [P4,4,4,8][BScB] ionic liquid with lithium bis(salicylato)borate Li[BScB] salt in concentrations from 2.5 to 20 mol%",Lithium bis(salicylato)borate (Li[BScB]),Li[BScB],Lithium bis(salicylato)borate,Li[BScB],"['This study was focused on the investigation of ion dynamics in halogen-free, hydrophobic, and hydrolytically stable phosphonium bis(salicylato) borate [P-4,P-4,P-4,P-8][BScB] ionic liquid electrolytes for lithium-ion batteries. The structure and purity of the synthesized ionic liquid and lithium bis(salicylato) borate Li[BScB] salt were characterized using H-1, C-13, P-31, and B-11 NMR spectroscopy. The Li[BScB] salt was mixed with an ionic liquid at the concentrations ranging from 2.5 mol% to 20 mol%. The physicochemical properties of the resulting electrolytes were characterized using thermal analysis (TGA and DSC), electrical impedance spectroscopy, and pulsed-field gradient (PFG) NMR and ATR-FTIR spectroscopy. The apparent transfer numbers of the individual ions were calculated from the diffusion coefficients of the cation and anion as determined via the PFG NMR spectroscopy. NMR and ATR-FTIR spectroscopic techniques revealed dynamic interactions between the lithium cation and bis(salicylato) borate anion in the electrolytes. The ion-ion interactions were found to increase with the increasing concentration of the Li[BScB] salt, which resulted in ionic clustering at the concentrations higher than 15 mol% of Li salt in the ionic liquid.']",2017
207,10.1016/j.jpowsour.2017.06.006,Network type sp3 boron-based single-ion conducting polymer electrolytes for lithium ion batteries,No,Additive not found in the provided information.,Coin,Li-ion battery,LiFePO4,Lithium foil,Network type sp3 boron-based single-ion conducting polymer electrolyte with GBL plasticizer,Not found,Not found,Not found,Not found,"['Electrolytes play a vital role in modulating lithium ion battery performance. An outstanding electrolyte should possess both high ionic conductivity and unity lithium ion transference number. Here, we present a facile method to fabricate a network type sp(3) boron-based single-ion conducting polymer electrolyte (SIPE) with high ionic conductivity and lithium ion transference number approaching unity. The SIPE was synthesized by coupling of lithium bis(allylmalonato)borate (LiBAMB) and pentaerythritol tetrakis(2-mercaptoacetate) (PETMP) via one-step photoinitiated in situ thiol-ene click reaction in plasticizers. Influence of kinds and content of plasticizers was investigated and the optimized electrolytes show both outstanding ionic conductivity (1.47 x 10(-3) S cm(-1) at 25 degrees C) and high lithium transference number of 0.89. This ionic conductivity is among the highest ionic conductivity exhibited by SIPEs reported to date. Its electrochemical stability window is up to 5.2 V. More importantly, Li/LiFePO4 cells with the prepared single-ion conducting electrolytes as the electrolyte as well as the separator display highly reversible capacity and excellent rate capacity under room temperature. It also demonstrates excellent long-term stability and reliability as it maintains capacity of 124 mA h g(-1) at 1 C rate even after 500 cycles without obvious decay. (C) 2017 Elsevier B.V. All rights reserved.']",2017
208,10.1002/adma.202505762,Macromolecular Boron-Based Salt Enables Dense Interphases for Long-Cycling Lithium-Sulfur Batteries,Yes,Reasonable,Not found,Li-S battery,Sulfur,Lithium metal,"0.2 M LiFPB, 0.8 M LiTFSI, and 1 wt.% LiNO3 in DME/DOL (1:1 by vol.)",Lithium perfluoropinacolatoborate (LiFPB),LiFPB,Lithium perfluoropinacolatoborate,LiFPB,"['Lithium-sulfur (Li-S) batteries represent a compelling next-generation energy storage system with practical energy densities exceeding 700 Wh kg-1, offering a promising pathway beyond current lithium-ion technology. However, their commercial viability remains constrained by deleterious interfacial reactions between lithium metal anodes and polysulfide-containing electrolytes. Herein, it is presented a molecular engineering approach through a novel boron-based salt, lithium perfluoropinacolatoborate (LiFPB), strategically designed to reinforce the solid electrolyte interphase (SEI) for long-cycling Li-S batteries. LiFPB anions, featuring higher specific charge (mass-to-charge ratio) and larger steric bulk compared to conventional salts, demonstrate enhanced resistance to Helmholtz double-layer repulsion and increased susceptibility to lithium metal reduction, promoting the formation of a robust SEI enriched with LiF and LiBxOy species. The LiFPB-containing electrolyte exhibits superior lithium metal compatibility, achieving a high coulombic efficiency of 99.59%. Consequently, Li-S cells demonstrate markedly improved capacity retention from 50.9% to 75.7% over 200 cycles. This strategy has been successfully scaled to Ah-level Li-S pouch cells, achieving practical energy densities of 408 Wh kg-1 with stable cycling over 75 cycles. This work presents an effective approach to developing long-cycling Li-S batteries through the rational design of electrolyte salt.']",2025
209,10.1021/acsami.9b18134,Phase-Inversion Polymer Composite Separators Based on Hexagonal Boron Nitride Nanosheets for High-Temperature Lithium-Ion Batteries,Not found,Not found,Coin,Li-ion battery,LTO (Li4Ti5O12),Lithium metal,Not found,Not found,Not found,Not found,Not found,"['By preventing electrical contact between anode and cathode electrodes while promoting ionic transport, separators are critical components in the safe operation of rechargeable battery technologies. However, traditional polymer-based separators have limited thermal stability, which has contributed to catastrophic thermal runaway failure modes that have conspicuously plagued lithium-ion batteries. Here, we describe the development of phase-inversion composite separators based on carbon-coated hexagonal boron nitride (hBN) nanosheets and poly(vinylidene fluoride) (PVDF) polymers that possess high porosity, electrolyte wettability, and thermal stability. The carbon-coated hBN nanosheets are obtained through a scalable liquid-phase shear exfoliation method using ethyl cellulose as a polymer stabilizer and source of the carbon coating following thermal pyrolysis. When incorporated within the PVDF matrix, the carbon-coated hBN nanosheets promote favorable interfacial interactions during the phase-inversion process, resulting in porous, flexible, free-standing composite separators. The unique chemical composition of these carbon-coated hBN separators implies high wettability for a wide range of liquid electrolytes. This combination of high porosity and electrolyte wettability enables enhanced ionic conductivity and lithium-ion battery electrochemical performance that exceeds incumbent polyolefin separators over a wide range of operating conditions. The hBN nanosheets also impart high thermal stability, providing safe lithium-ion battery operation up to 120 degrees C.']",2020
210,10.1016/j.ssi.2020.115309,Boron-containing single-ion conducting polymer electrolyte for dendrite-free lithium metal batteries,Not found,Not found,Not found,Li-ion battery,LiFePO4,Lithium metal,Not found,Not found,Not found,Not found,Not found,"['Lithium metal is regarded as a Holy Grail anode material because of its high theoretical specific capacity and uniquely low reduction potential. However, its low Coulombic efficiency and hazards caused by uncontrolled lithium dendrite growth have hindered its practical application in anodes for many years. In this work, we design a novel boron-containing single-ion conducing polymer electrolyte that eliminates the large electric field that Chazalviel has identified as the cause of lithium dendrite growth. The ability to inhibit lithium dendrite growth is demonstrated via galvanostatic cycling tests of Li/Electrolyte/Li cells. In addition, the boron-containing single-ion conducing polymer electrolyte exhibits excellent ionic conductivity (2.23 mS cm(-1)) and an extremely high lithium-ion transference number (0.71). Moreover, the LiFePO4/Electrolyte/Li cell exhibits an outstanding specific capacity of more than 130 mAh g(-1) and excellent capacity retention (90% of the highest capacity was retained after 100 cycles). This excellent performance indicates a promising strategy for development of safe, long-life lithium metal batteries.']",2020
211,10.1149/2.0321613jes,Electrolyte System for High Voltage Li-Ion Cells,Yes,Reasonable,Pouch,Li-ion battery,Li[Ni0.4Mn0.4Co0.2]O2 (NMC442),Graphite,"1 M LiPF6 in EMC with additives such as VC, FEC, PES, DTD, TTSPi, PPF, TAP, etc.","Vinylene carbonate (VC), Fluoroethylene carbonate (FEC), Propene-1,3-sultone (PES), 1,3,2-dioxathiolane-2,2-dioxide (DTD), Tris(trimethylsilyl) phosphite (TTSPi), Pyridine pentafluorophosphate (PPF), Triallyl phosphate (TAP)","VC, FEC, PES, DTD, TTSPi, PPF, TAP",Not found,Not found,"['Ethylene carbonate is a co-solvent used in virtually every lithium ion cell produced today because it enables operation of both the positive and negative electrodes. Most battery scientists believe ethylene carbonate is essential. Surprisingly, totally removing all ethylene carbonate from typical organic carbonate-based electrolytes and adding small amounts of electrolyte additives creates cells that are better than those containing ethylene carbonate. For example an electrolyte of only 2% vinylene carbonate and 98% ethyl methyl carbonate, with selected additives, provides excellent performance to Li[Ni0.4Mn0.4Co0.2]O-2/graphite cells cycled up to 4.4 V which increases their energy density by at least 10%. The cells have low impedance, low rates of electrolyte oxidation, good graphite passivation, low gas generation, acceptable conductivity and low cost. This discovery opens an entirely new space for electrolyte development. (C) The Author(s) 2016. Published by ECS. This is an open access article distributed under the terms of the Creative Commons Attribution 4.0 License (CC BY, http://creativecommons.org/licenses/by/4.0/), which permits unrestricted reuse of the work in any medium, provided the original work is properly cited. All rights reserved.']",2016
212,10.1002/aenm.201900550,Carbon Anodes for Nonaqueous Alkali Metal-Ion Batteries and Their Thermal Safety Aspects,Yes,Reasonable,Not found,"Li-ion battery, Sodium-ion battery, Potassium-ion battery","LiCoO2, NaxCoO2, KxCoO2, etc.","Graphite, Hard carbon, Graphene, Carbon nanotubes","1M LiPF6 in EC/DEC, 1M NaClO4 in EC/PC, 0.8M KPF6 in EC/DEC, etc.","Vinyl carbonate, Fluoroethylene carbonate","VC, FEC",Not found,Not found,"['Since their commercialization by Sony in 1991, graphite anodes in combination with various cathodes have enabled the widespread success of lithium-ion batteries (LIBs), providing over 10 billion rechargeable batteries to the global population. Next-generation nonaqueous alkali metal-ion batteries, namely sodium-ion batteries (SIBs) and potassium-ion batteries (PIBs), are projected to utilize intercalation-based carbon anodes as well, due to their favorable electrochemical properties. While traditionally graphite anodes have dominated the market share of LIBs, other carbon materials have been investigated, including graphene, carbon nanotubes, and disordered carbons. The relationship between carbon material properties, electrochemical performance, and charge storage mechanisms is clarified for these alkali metal-ion batteries, elucidating possible strategies for obtaining enhanced cycling stability, specific capacity, rate capability, and safety aspects. As a key component in determining cell performance, the solid electrolyte interphase layer is described in detail, particularly for its dependence on the carbon anode. Finally, battery safety at extreme temperatures is discussed, where carbon anodes are susceptible to dendrite formation, accelerated aging, and eventual thermal runaway. As society pushes toward higher energy density LIBs, this review aims to provide guidance toward the development of sustainable next-generation SIBs and PIBs.']",2019
213,10.1039/c5ra08606j,Performance and polarization studies of the magnesium-antimony liquid metal battery with the use of in-situ reference electrode,No,"The additive is not found, making it impossible to determine appropriateness for the battery's electrolyte requirements.","Laboratory scale cell (not explicitly specified, but described as small-scale with crucible)",Magnesium-antimony liquid metal battery,Antimony (Sb),Magnesium (Mg),Not found,Not found,Not found,Not found,Not found,"['This work presents the performance and polarization studies of a magnesium-antimony liquid metal battery with the use of an in-situ pseudo reference electrode at high operating temperature (ca. 700 degrees C). Due to the immiscibility of the contiguous salt and metal phases, the battery appears as three distinct layers: (1) positive electrode, (2) electrolyte and (3) negative electrode layers. The configuration of the in-situ reference electrode within the three floating liquid layers is described and is to avoid direct electrical contact/short circuit with the other electrodes. Electrochemical tests, including linear sweep voltammetry, impedance spectroscopy and galvanostatic cycling, evaluate the performance of a magnesium-antimony battery under a range of operating temperatures and current densities. Through the polarization studies, the area resistance of the negative and positive electrodes and the overall battery are found to be ca. 0.55, 0.65 and 1.20 Omega cm(-2), respectively. In a typical 1 h charge/discharge per cycle experiment, average voltage efficiencies of ca. 64% are obtained at 60 mA cm(-2) with a slight deterioration after subsequent cycles. In these tests, the half-cell measurements also indicate that the sprayed layer of boron nitride at the reference electrode is chemically stable and shown to be an effective electrical insulator for prolonged operation at high temperature (ca. 700 degrees C).']",2015
214,10.1016/j.elecom.2017.09.001,Strong anion receptor-assisted boron-based Mg electrolyte with wide electrochemical window and non-nucleophilic characteristic,No,Additive not found in the provided information.,Coin,Mg-ion battery,Sulfur (S) or Mo6S8,Magnesium (Mg),BMOC electrolyte synthesized from THFPB and MgO in DME,Not found,Not found,Not found,Not found,"['Herein we present a strong anion receptor-assisted Mg-ion electrolyte, which is synthesized from tris(2H-hexafluoroisopropyl) borate (THFPB) and MgO in 1,2-dimethoxyethane (DME). The as-prepared borate magnesium oxide complex (BMOC) electrolyte delivers exceptional electrochemical performances, including extremely high anodic stability (up to 4.2 V vs. Mg), non-corrosivity to stainless steel and aluminium foils, and reasonable ionic conductivity of 1.74 x 10(-4) S cm(-1). In addition, by virtue of the non-nucleophilic characteristic of the BMOC electrolyte, S|| BMOC|| Mg cells have been assembled, which show a high stable discharge capacity of 1030 mAh g(-1) for 15 cycles and one well-defined voltage plateau of approximate to 1.1 V vs. Mg, yielding a desirable energy density beyond 1100 Wh kg(-1) based on the weight of sulfur in cathodes.']",2017
215,10.1002/advs.202001303,Thermal Conductive 2D Boron Nitride for High-Performance All-Solid-State Lithium-Sulfur Batteries,Yes,Reasonable,Coin,Li-S battery,Sulfur,Lithium metal,PEO-PVDF-LiTFSI with 12 wt% BN additive,Boron Nitride,BN,Boron Nitride,BN,"['Polymer-based solid-state electrolytes are shown to be highly promising for realizing low-cost, high-capacity, and safe Li batteries. One major challenge for polymer solid-state batteries is the relatively high operating temperature (60-80 degrees C), which means operating such batteries will require significant ramp up time due to heating. On the other hand, as polymer electrolytes are poor thermal conductors, thermal variation across the polymer electrolyte can lead to nonuniformity in ionic conductivity. This can be highly detrimental to lithium deposition and may result in dendrite formation. Here, a polyethylene oxide-based electrolyte with improved thermal responses is developed by incorporating 2D boron nitride (BN) nanoflakes. The results show that the BN additive also enhances ionic and mechanical properties of the electrolyte. More uniform Li stripping/deposition and reversible cathode reactions are achieved, which in turn enable all-solid-state lithium-sulfur cells with superior performances.']",2020
216,10.1002/adsu.201900113,Facile Self-Forming Superionic Conductors Based on Complex Borohydride Surface Oxidation,No,Electrolyte and additive information not provided or found.,Not found,"Li-ion battery, Na battery, Mg battery",Not found,Not found,Not found,Not found,Not found,Not found,Not found,"[""Complex hydrides have attracted significant attention as better inorganic solid-state electrolytes owing to their lightweight and good compatibility with metal anodes (Li, Na, and/or Mg) for all solid-state batteries. However, high ionic conductivity is usually observed at high temperatures upon the stabilization of adequate crystalline phases enabling fast ionic mobility. Here, an extremely simple strategy to significantly increase the ionic conductivity of complex borohydrides is reported. By exposing complex borohydrides to oxygen, the rearrangement of surface atoms upon the oxidation of borohydride particles and the resulting defects lead to extremely high ionic conductivity. NaBH4 and LiBH4 exposed to 5% O-2 show an ionic conductivity of approximate to 10(-3) S cm(-1) at 35 degrees C. Similarly, oxidized Mg(BH4)(2) displays a conductivity of approximate to 10(-6) S cm(-1) at 25 degrees C instead of 9.63 x 10(-13) S cm(-1). To the best of the authors' knowledge, this is to date, the simplest approach to tune the properties of borohydrides toward high ionic conductivity at room temperature as it does not rely on the difficult synthesis of large cage boron based anions to substitute BH4- and allow better ionic conduction paths. Owing its simplicity, the finding has the potential to enable new avenues toward the realization of viable complex borohydride based solid-state electrolytes.""]",2020
217,10.1039/d0ta05644h,"An ultrathin, strong, flexible composite solid electrolyte for high-voltage lithium metal batteries",Yes,Reasonable,Coin,Li-ion battery,NCM811,Lithium metal,"PAN-LiClO4-BNNF composite electrolyte with BNNF modifying layer, plus 5 μL of 1 M LiPF6 in EC:DMC:DEC (1:1:1 in volume ratio) added at interfaces",Boron nitride nanoflake (BNNF),BNNF,Boron nitride nanoflake (BNNF),BNNF,"[""The urgent need for safe, energy-dense electrochemical storage devices calls for high-voltage solid-state lithium metal batteries. However, state-of-the-art solid-state electrolytes are hindered by two critical issues: the narrow electrochemical window, which prevents the pairing of a lithium metal anode with a high-voltage cathode, and the large thickness which leads to a huge internal resistance and a significant sacrifice in energy density. To simultaneously address both the issues, in this work we develop a poly(acrylonitrile) (PAN)-LiClO4-boron nitrite nanoflake (BNNF) composite electrolyte modified with a BNNF layer (PBCEB). The PAN-LiClO4-BNNF composite can sustain an oxidation voltage of up to 4.5 Vvs.Li/Li(+)while the BNNF modifying layer prevents the PAN-LiClO4-BNNF from the reduction reaction with the lithium metal anode. In the meantime, thanks to the BNNFs, the PAN-LiClO4-BNNF possesses a strong tensile strength (16.0 MPa) and Young's modulus (563.7 MPa), which enables the PBCEB to be as thin as 13.5 mu m (12.0 mu m for the PAN-LiClO4-BNNF and 1.5 mu m for the BNNF modifying layer). As a result, a Li/PBCEB/LiNi(0.8)Co(0.1)Mn(0.1)O(2)full battery delivers a high specific capacity of 173.6 mA h g(-1)at 0.2C and achieves a remarkable capacity retention of 68.1% after 350 cycles at 1C. This work provides an effective approach to develop high-performance composite solid electrolytes for high-voltage lithium metal batteries.""]",2020
218,10.1007/s42114-025-01380-4,Nacre-inspired hybrid interface enabling controlled lithium deposition via ion modulation for lithium-sulfur batteries,No,Additive not found in the provided information.,Coin,Lithium-sulfur battery,Sulfur-carbon nanotube composite,Lithium metal,"1 M LiTFSI and 2 wt.% anhydrous LiNO3 in DOL/DME (1:1, v/v)",Not found,Not found,Not found,Not found,"['The performance of the lithium-metal anode is a key factor influencing the cycling stability of lithium-sulfur (Li-S) batteries. Here, we present a nacre-inspired hybrid protective layer (PBN-Li), composed of polyethylene oxide (PEO) and boron nitride nanosheets (BNNSs), applied to Li-metal anodes. The alternating soft-rigid layered architecture, mimicking natural nacre, enables a synergistic balance between mechanical robustness and interfacial adaptability. This structure not only enhances interfacial stability and capacity retention, but also contributes to lithium ion modulation, promoting uniform Li deposition and preventing dendrite formation. The well-dispersed hybrid components effectively suppress Li-metal depletion and electrolyte degradation. In addition, the high Li+ conductivity of both PEO and BNNS ensures sufficient ionic transport across the interface. As a result, the symmetric PBN-Li cell delivers remarkable cycling stability for over 400 h at 1 mA/cm2 and excellent rate performance up to 5 mA/cm2. Real-time observations further reveal the role of the hybrid protective layer in stabilizing lithium metal and enhancing long-term battery operation. A full cell paired with a sulfur cathode also demonstrates high-rate capability and outstanding cycle life, highlighting the effectiveness of the ion-regulating, nacre-inspired interface for advanced Li-S battery systems.']",2025
219,10.1149/1.3139042,Computational Estimates of Fluoride Affinity of Boron-Based Anion Receptors,No,"Electrolyte and additive information not provided or found, making it impossible to assess appropriateness.",Not found,Li-ion battery,Not found,Not found,Not found,Not found,Not found,Not found,Not found,"['Ab initio calculations were carried out to study the structure-property relationship of anion receptors to establish a guidance for developing advanced electrolyte for lithium-ion batteries. A group of 25 well-selected anion receptors was investigated to illustrate the impact of structural rigidity and the substitution of electron-withdrawing groups, such as F and CF(3), as well as the substitution of alkoxyl groups. The calculation results showed that the fluoride affinity of an anion receptor can be reduced by the introduction of alkoxyl groups to the boron center and that the fluoride affinity increases with the substitution of electron-withdrawing groups.']",2009
220,10.1016/S0008-6223(99)00060-3,Chemical and electrochemical intercalation of lithium into boronated carbons,No,Additive not found in the provided information.,Coin,Li-ion battery,Not found,Graphite,LiPF6 (1 M) dissolved in EC/PC/3DMC,Not found,Not found,Not found,Not found,"['Boron-substituted carbons have been produced by chemical vapour deposition from acetylene and boron trichloride precursors at 1140 degrees C. Li intercalation was investigated, chemically from the Li vapour and electrochemically in Li-carbon cells. In both cases, the amount of intercalated Li increases with the boron content of the carbon, up to a value of 13 at.% boron. Above this value, the intercalation of lithium is not so efficient. This behaviour is understood by assuming that boron, which acts as an electron acceptor and hence favours the intercalation of electron donors like lithium, can enter substitutionally into the carbon lattice up to a certain limit, which is close to 13 at.% for the materials deposited at 1140 degrees C. (C) 1999 Elsevier Science Ltd. All rights reserved.']",1999
221,10.1039/d4cs01288g,Boron cluster leveraged polymeric building blocks,No,"Electrolyte and additive information is not found, making it impossible to assess appropriateness.",Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,"['Boron cluster compounds (BCCs) are inorganic molecules characterized by their unique physical and chemical properties. Polymeric materials incorporating BCCs exhibit significant chemical and thermal stability, making them valuable for applications in biomedical fields, energy storage, ultrahigh stability materials, and pi-conjugated luminochromic polymers. This review article aims to explore the primary methods for integrating these distinctive clusters into traditional carbon-based polymers. Both boron and carbon atoms possess catenation abilities, enabling the formation of extensive macromolecular structures. While carbon forms long linear chains, boron typically leads to three-dimensional polyhedral clusters. We first examine hybrid nanostructures, focusing on weak non-covalent interactions such as dihydrogen bonding, hydrophobic, and chaotropic effects between boron clusters and polymer chains. We then discuss classical chemical bonding approaches. Despite their inorganic nature, boron clusters can undergo exoskeletal substitution akin to organic counterparts, allowing their attachment as side groups to polymer repeating units. Additionally, polyhedral boron clusters can be incorporated into polymer backbones primarily through polycondensation reactions, resulting in hybrid macromolecules with exceptional physical and chemical attributes. Finally, we summarize the applications of BCC-containing polymeric materials, including their use in boron neutron capture therapy (BNCT), solid polymer electrolytes (SPEs) for metal ion batteries, and as electron acceptor groups in stimuli-responsive luminescent materials. In summary, BCC-containing polymeric materials are increasingly considered viable alternatives to traditional hydrocarbon-based polymers for biomedical applications, ion-conducting materials, luminescent materials, and temperature-resistant materials.']",2025
