idx,additive,CEI,High_voltage_performance_CEI,SEI,Optimal_operating_temperature
505,SOFPB,"SOFPB additive forms a robust, conformal, and homogeneous cathode electrolyte interphase (CEI) with high lithium-ion conductivity, strong oxidative stability, and excellent mechanical strength, effectively suppressing excessive electrolyte decomposition and mitigating structural degradation on the NCM622 cathode surface.","The Li/NCM622 half-cell with 0.3 wt% SOFPB maintains a capacity retention of 78.4% after 300 cycles at 25°C and 77.5% after 300 cycles at 55°C, compared to 63.4% and 3.8% for the Baseline, respectively, under a voltage range of 3.0 V to 4.5 V.","SOFPB additive forms a thin, conformal, homogeneous, and flexible solid electrolyte interphase (SEI) on the graphite anode with high elasticity and lithium-ion conductivity, reducing interphasial and charge transfer resistance, suppressing electrolyte parasitic reactions, and accommodating large volume variations during cycling.",Not found
516,TMSB,Not found,Not found,Not found,Not found
529,PBA,"PBA can be sacrificially oxidized before other salt/solvent decomposition, achieving a highly-reversible lithiation/delithiation process at the cathode and forming a stable CEI film rich in B-O species, which inhibits decomposition of carbonate solvents and lithium salts, reduces charge transfer resistance, and improves cycle performance.","The NCM523/Li half-cell with PBA additive showed a capacity retention rate of 81.7% after 200 cycles at 4.3V, compared to 60.3% without the additive, indicating improved performance under high voltage.","PBA is preferentially reduced on the SiC anode, inducing the formation of a B-rich SEI film that efficiently protects the anode material from parasitic reactions, reduces interface impedance, suppresses side reactions, and maintains electrode integrity during cycling.",Not found
535,LiDFOB,"The boron-containing additive LiDFOB plays a pivotal role in forming passivation layers on the cathode, generating boron-containing components in the CEI that effectively mitigate transition metal dissolution, phase transition, and gas release issues, leading to a stable and dense CEI membrane.","The battery with the LiDFOB additive maintains 75.2% capacity retention after 300 cycles at 4.5V, and even at 4.6V, it retains 80% capacity after 126 cycles, while the battery without the additive (using only LiFSI) shows rapid capacity decay and lower Coulombic efficiency at these voltages.","The boron-containing additive LiDFOB participates in SEI formation, generating boron-containing components that suppress side reactions, reduce interface impedance, and enhance lithium plating-stripping Coulombic efficiency to 99.47%, with the SEI being dominated by LiF and boron compounds.","The battery with the additive operates effectively at low temperatures, such as -20°C, with a reversible capacity of 149.1 mAh g⁻¹ and capacity retention of 88.87% after 120 cycles, and can even survive at -30°C."
536,BNSPH,Not found,Not found,Not found,60°C
539,"B2O3, H3BO3",Not found,Not found,Not found,Not found
541,LiBOB,"The boron-containing additive LiBOB reacts with PF6- anions to form BF4- and suppresses HF acid formation, leading to a more uniform CEI layer and mitigating interface corrosion, as confirmed by NMR and STEM-EELS analyses.","The battery with LiBOB additive and LBO-coated cathode demonstrates an 82% capacity retention after 400 cycles at a high voltage (up to 4.55V) under challenging conditions, with minimal voltage decay.","LiBOB contributes to SEI formation on the graphite anode by migrating from the cathode and depositing a uniform boron layer, suppressing side reactions and reducing interface impedance, as observed through STEM-EELS.",Not found
542,K2B4O5(OH)4,"K2B4O5(OH)4 preferentially decomposes on high-voltage cathodes to create a boron-rich cathode electrolyte interphase (CEI) layer, which helps reduce side reactions and maintains a stable structure of high voltage cathodes.",The Li||NCM523 full cells at 4.3 V and Li||NCM622 full cells at 4.4 V can respectively deliver high capacity retentions of 87% and 80.1% for 200 cycles.,"LiNO3 decomposes on the anode to form a nitride-rich solid electrolyte interphase (SEI) layer, which promotes the de-solvation process and enhances ionic conductivity, ensuring dense Li deposition and suppressing side reactions.",Not found
556,ITD,"ITD forms a dense and uniform CEI that reduces interface impedance, inhibits nickel dissolution, and has self-repairing ability, maintaining structural integrity and improving cycling stability.",Not found,Not found,Not found
559,TPFPB,"The fluorine and boron segments from TPFPB can optimize the composition of the cathode-electrolyte interphase (CEI), forming a stable O-B-O-containing CEI that suppresses further decomposition of the PEO electrolyte and widens the electrochemical stability window to over 4.6 V.","The BPEO electrolyte exhibits a high-voltage tolerance of 4.6 V (vs Li/Li+), and NCM811/BPEO/Li full cells show an initial capacity of 201 mAh g⁻¹ with stable cycling over 100 cycles at 0.5 C, while PEO cells degrade rapidly.","TPFPB decomposes to form a LiF-rich solid-electrolyte interphase (SEI) on the lithium anode, which suppresses lithium dendrite growth and reduces interface impedance, enhancing stability and compatibility.",Not found
575,LiDFOB,"The boron-containing additive LiDFOB promotes the formation of a boron-contained oxygen-rich CEI (BOR-CEI) that is elastic and mechanically robust, enhancing its durability to cyclic volume changes and significantly suppressing active materials dissolution.","The battery with the additive shows superior cycle performance at elevated temperatures, with a discharge capacity of 450 mAh·g⁻¹ after 1000 cycles at 60°C, but no specific voltage value above 4V is mentioned; the charging cut-off voltage is 4V.","The boron-containing additive LiDFOB can lead to the formation of a B-rich SEI on the anode, which may increase interfacial impedance and contribute to capacity fading, but it is not explicitly stated to suppress side reactions or reduce interface impedance in this context.",60°C
578,LBO,"The LBO-coated LNMO has a 5 nm cathode electrolyte interphase (CEI) with mitigated phase change after long-term cycling, while the uncoated LNMO has negligible CEI with obvious phase change.","The battery with the LBO-coated LNMO has a capacity retention of 46.1% after 1000 cycles at 4.8V operating voltage, while the uncoated LNMO has a capacity retention of 18.1%. The cycling was performed at C/3 rate with a practical 3 mAh cm⁻² areal capacity.","The LBO coating mitigates extensive generation of solid electrolyte interphase (SEI) on the anode side by reducing transition metal dissolution and cross-talk, leading to less by-products and LiF formation on the graphite anode.",Not found
581,LiDFOB,"Form a robust, dense, and conductive CEI on the LiFePO4 cathode, promoting a fluoride (F)- and boron (B)-rich CEI that enhances ion transport kinetics and suppresses electrolyte decomposition and structural damage.",Not found,Not found,Not found
601,LiDFOB,"A hierarchical cathode-electrolyte interphase with flexibility and oxidation resistance is constructed involving the boron difluoride radical-catalyzed cleavage of Si-O-Si linkages in POSS frameworks, which forms a robust and uniform CEI that suppresses cracking and enhances cycling stability.","The Li|PSiO-QSE|NCM83 cell exhibits stable performance with 80% capacity retention after 300 cycles in the voltage range of 3.0–4.5V, verifying the feasibility of PSiO-QSE operating at higher cut-off voltage.","The electrolyte decomposition is suppressed in the PSiO-QSE, leading to less formation of species like C-O, C=O, Li2CO3, B-F, and LiF on the SiOx anode, indicating a stable SEI that reduces side reactions and interface impedance.",Not found
607,LiBOB,"The boron-containing additive LiBOB preferentially oxidizes to form a thin and boron-rich CEI layer, which is dense and robust, effectively inhibiting side reactions and improving cycling stability.","The battery with the BPF electrolyte (containing LiBOB) exhibits a capacity retention of 75% after 300 cycles at 55°C, but no specific high voltage value (e.g., 4.5V) is mentioned in the text; the cut-off voltage used is 4.3V.","A thin and inorganic-rich SEI interface is generated on the lithium anode with abundant B-O containing compounds and LiF, suppressing side reactions and reducing interface impedance.","The battery performs well at elevated temperatures, with cycling tests conducted at 55°C, but no specific optimal operating temperature (e.g., 20°C) is mentioned in the text; room temperature (25°C) and 55°C are discussed."
608,THFPB,Not found,Not found,"The THFPB additive results in the formation of a dense, smooth, and inorganic-rich SEI layer, which suppresses side reactions, reduces interface impedance, and accelerates lithium-ion transport, leading to improved electrochemical performance.",Not found
610,TMB,"The boron-containing additive TMB is preferentially oxidized to form a stable, uniform, and robust cathode-electrolyte interface (CEI) on the NCM90 cathode surface, which is F- and B-rich, highly conductive, and suppresses side reactions, irreversible phase transformation, and transition metal dissolution.","The battery with 1 wt% TMB additive achieves a capacity retention of 70% after 100 cycles at 4.7 V and 78% after 200 cycles at 4.5 V, compared to 48.4% without TMB at 4.7 V after 100 cycles.","TMB is preferentially reduced on the lithium metal anode to form a conductive solid electrolyte interphase (SEI) that promotes stable lithium plating/stripping, reduces polarization, and suppresses side reactions and dendrite growth.",25°C
631,LiDFOB,"The LiDFOB salt forms a robust cathode electrolyte interphase (CEI) during oxidation, which is beneficial for cycling performance. In the cellulose/B2O3-based electrolyte, the NCM cathode shows an intact morphology with a compact and thinner CEI film (≈2.3 nm), effectively suppressing electrolyte decomposition during cycling.","The cellulose/B2O3-based electrolyte has an electrochemical window of 4.75 V, and when paired with NCM622 cathode, it delivers a specific capacity of 155 mAh g⁻¹ with a capacity retention of 90% after 200 cycles at 0.1 C, though no specific voltage value for high voltage cycling is explicitly mentioned beyond the window.","The boron ions with occupied interstitial sites release free electrons, enhancing the electrochemical dynamics of the electrolyte and facilitating the decomposition of DFOB⁻ anions to form a LiF/Li₂CO₃ heterostructured solid electrolyte interphase (SEI) layer, which regulates lithium deposition behavior and suppresses side reactions, reducing interface impedance.",Not found
638,"TME, TMF, TPF",Not found,Not found,"The addition of a small amount of anion receptor additive in electrolyte facilitates the formation of a solid electrolyte interphase (SEI), which improves the retention capacity of the LIB. Specifically, TMF and TPF additives reduce ion-pair formation and enhance Li+ diffusion, contributing to SEI chemistry by suppressing side reactions and reducing interface impedance, though detailed SEI chemistry is still under investigation.","330 K (approximately 57°C), as the MD simulations were conducted at this temperature, which is similar to the operating temperature of the LIB mentioned in the text."
640,LiBOB,Not found,Not found,"The boron-containing additive LiBOB promotes the formation of a stable and highly conductive SEI layer by weakening the interaction between the boron-rich polymer and TFSI⁻ anions, leading to increased decomposition of TFSI⁻ and higher amounts of LiF and Li₃N in the SEI, which suppresses side reactions and reduces interface impedance.",30°C
644,BN,Not found,"The battery with the additive has an electrochemical stability window over 4.73 V vs. Li/Li+, and the Li||CSSEs||LiFePO4 cell exhibited a capacity retention rate of 85% after 350 cycles at 0.1 C, with a voltage range of 2.5–4.2 V, but no specific high voltage performance at a voltage like 4.5V as mentioned in the question was found.","The addition of BN and g-C3N4 promotes the formation of LiF from LiTFSI decomposition, which is favorable for constructing a stable solid electrolyte interphase (SEI), suppressing side reactions and reducing interface impedance, as indicated by improved cycling stability and reduced dendrite growth.","The battery operates effectively at room temperature (25°C), with good performance, but the optimal temperature for ionic conductivity is higher, such as 70°C where conductivity is 3.64 × 10^{-5} S cm^{-1}, though the question specifies optimal operating temperature, and the article mentions room temperature cycling but not a specific optimal value like 20°C; thus, it is not found as per the note."
651,BNNSs,Not found,Not found,Not found,60°C
657,DPD-F,"The DPD-F-interphase constructed by compounds of DPD scaffold is more stable and compact than traditional electrolyte, forming a unique CEI with polymer in the upper layer and LiF in the lower layer that effectively inhibits dissolution of harmful Co ions and mitigates oxidation decomposition of electrolyte.","The battery with DPD-F additive has a capacity retention of 87.9% after 100 cycles at 4.5V, while the battery without additive has a capacity retention of only 30.8%. Additionally, at 4.6V, capacity retention improves from 38.0% to 69.2% after 200 cycles.",Not found,Not found
665,OH-B nanosheets,Not found,Not found,Not found,Not found
668,TMSB,"The oxidative decomposition products of TMSB are involved in the formation of cathode electrolyte interface film, forming a stable CEI film that effectively suppresses side reactions between the NCA and the electrolyte.","The battery with 1% TMSB additive shows a capacity retention of 86.0% after 200 cycles at 4.3V, compared to 67.2% for the baseline electrolyte, indicating improved performance at high voltage.",Not found,Not found
672,BNNs,Not found,Not found,"A stable Solid Electrolyte Interface (SEI) layer (Li x SiO y) is formed on the surface of the lithium metal after cycling, which is helpful for the long cycle of the battery.",25°C
677,TCEB,"The TCEB additive forms a uniform and stable cathode electrolyte interphase (CEI) film through preferential decomposition, which stabilizes the cathode/electrolyte interface and inhibits electrolyte decomposition, leading to enhanced cycling performance.","The battery with the TCEB additive shows a capacity retention of 78.2% after 200 cycles at 4.5V, compared to 40.4% for the battery without the additive.",Not found,25°C
680,LiDFOB,Not found,Not found,"The soluble product BOF2- anion of LiDFOB suppresses the excessive decomposition of salt anions by aggregating on the electrode surface and catalyzes the reduction of ethylene carbonate, leading to improved stability of the interface and formation of a smooth and dense SEI layer.",Not found
687,LiBOB,Not found,"The battery with the purified LiBOB additive has a capacity retention of 89.8% after 100 cycles at 4.4V, while the reference cell without additive has a capacity retention of 77.7%.","The LiBOB additive forms a protective solid electrolyte interphase (SEI) on the cathode surface, which suppresses electrolyte decomposition, inhibits oxidative decomposition, undesirable structural changes, and cobalt dissolution, leading to improved interfacial stability and cycling performance.",Not found
690,B2O3,Not found,Not found,Not found,Not found
693,LiBMAB,Not found,Not found,"The POSS-LiBMAB artificial SEI layer is constructed via thiol-ene click reaction, forming a flexible 3D cross-linked hybrid network that suppresses side reactions, reduces interface impedance, and facilitates uniform Li+ ion channels for stable and dendrite-free lithium deposition.",Not found
698,BNs,Not found,Not found,Not found,Not found
699,LiDFOB,Not found,Not found,"DFOB⁻ anion is preferentially reduced to form a dense and stable SEI film with increased inorganic content like LiF and Li₂O, which suppresses Li⁺-DMC co-insertion into graphite, reduces interface impedance, and maintains higher battery capacity.",Not found
712,TBDB,"TBDB is preferentially oxidized before electrolyte solvents, generating a compact, thin, and protective cathode electrolyte interphase (CEI) layer on the cathode electrode, which effectively restrains electrolyte decomposition and enhances interfacial stability.","At a charge cut-off voltage of 4.5 V, the NCM90 || Li cell with 0.3% TBDB-containing electrolyte shows a discharge capacity retention of 81.6% after 200 cycles, compared to 71.8% for the baseline electrolyte.",Not found,Not found
